
Transaction Hash,0xac7ed93bacaca67348bc5449bff456e220eb78ad358737099d8598b1a013f66f
Token Name,WETH,IQ
Amount,0.1,29783.10431942819
Price Before,1573.9357103185428,0.005520772965564154
Value Before,157.3935710318543,164.4257571572761
Price After,1716.993772035267,0.005606446579345816
Value After,171.69937720352672,166.97738333395776

Transaction Hash,0x44bfb7b96852ce15e3533a60e61e027bb55cbfabb159534b8c7cbd089d180dea
Token Name,FOX,USDC
Amount,150.0,1783.6188255090522
Price Before,1.002402762025063,0.10603509458737566
Value Before,150.36041430375946,189.12619087067623
Price After,1.001701360680238,0.11168333777293997
Value After,150.25520410203572,199.20050374750195
